Report,Timeframe,Period,Type,Geography,Current Year Week Ending,ASP Current Year,Total Bulk and Bags,4046,4225,4770,TotalBagged,Sml Bagged,Lrg Bagged,X-Lrg Bagged,Unknown Bag Size
Category,Weekly,52,Conventional,5 Boroughs/New York City,2025/12/28,1.095919449,584086.7021,98699.86337,169066.4447,1581.867365,314738.5267,284656.3211,4644.746432,6223.100331,19214.35889
Category,Weekly,51,Conventional,5 Boroughs/New York City,2025/12/21,1.115703074,743525.7741,118644.8766,308259.2727,2684.404897,313937.22,280796.1232,7056,9868.904359,16216.19243
Category,Weekly,50,Conventional,5 Boroughs/New York City,2025/12/14,1.008696993,857684.6458,126587.7266,344061.2502,1666.221558,385369.4475,362029.4992,6871.2,3716.701695,12752.04659
Category,Weekly,49,Conventional,5 Boroughs/New York City,2025/12/07,1.056224017,858937.0556,151369.7967,386316.3426,3637.550636,317613.3656,295905.6515,6602.4,2400.382197,12704.93193
Category,Weekly,48,Conventional,5 Boroughs/New York City,2025/11/30,1.187256174,569309.2162,93788.52928,190583.01,1664.121025,283273.5559,263223.6527,6064.8,2318.46249,11666.64066
Category,Weekly,47,Conventional,5 Boroughs/New York City,2025/11/23,1.003932403,848455.5135,134647.4521,384140.6383,1614.675384,328052.7477,302492.8562,8707.125,3114.786954,13737.97952
Category,Weekly,46,Conventional,5 Boroughs/New York City,2025/11/16,1.115555464,780945.3438,140719.7038,285387.5032,3755.022195,351083.1146,324840.2111,10154.96828,2698.39288,13389.54226
Category,Weekly,45,Conventional,5 Boroughs/New York City,2025/11/09,0.989686273,908866.5129,156852.8092,359159.8197,3357.482075,389496.4019,366608.4577,6039.242537,3745.160304,13103.54135
Category,Weekly,44,Conventional,5 Boroughs/New York City,2025/11/02,1.112529577,725100.229,126881.1213,291609.6758,4569.210518,302040.2213,281861.1412,1794.278406,4383.235206,14001.56648
Category,Weekly,43,Conventional,5 Boroughs/New York City,2025/10/26,1.0568815,779167.824,151556.889,316495.3265,2350.676625,308764.9319,278251.4322,0,16046.10538,14467.39431
Category,Weekly,42,Conventional,5 Boroughs/New York City,2025/10/19,1.155031332,712797.2043,118438.7413,280205.9138,3349.978111,310802.5711,286556.9556,25.2,10549.64414,13670.77138
Category,Weekly,41,Conventional,5 Boroughs/New York City,2025/10/12,1.088287745,820531.5656,160010.0116,328011.4555,2171.27661,330338.822,297422.3265,8752.8,13439.5418,10724.15362
Category,Weekly,40,Conventional,5 Boroughs/New York City,2025/10/05,1.241380698,706756.6693,132869.5399,253614.252,2559.468528,317713.4089,274430.044,12940.2,17380.04507,12963.11986
Category,Weekly,39,Conventional,5 Boroughs/New York City,2025/09/28,1.136378173,703432.7028,164058.7872,215312.9919,2382.821511,321678.1022,301530.1278,1285.2,7212.254422,11650.51992
Category,Weekly,38,Conventional,5 Boroughs/New York City,2025/09/21,1.09802841,772023.7663,251553.0505,220904.9591,2455.183354,297110.5733,272287.8503,5422.2,11481.24161,7919.281379
Category,Weekly,37,Conventional,5 Boroughs/New York City,2025/09/14,1.159661166,745926.8316,184971.2643,243739.0981,3823.123032,313393.3461,283892.5307,4391.607645,12437.39444,12671.81329
Category,Weekly,36,Conventional,5 Boroughs/New York City,2025/09/07,1.100005948,786354.5122,255784.0004,234278.8624,1731.929956,294559.7195,255245.0841,3190.132899,22990.3073,13134.19523
Category,Weekly,35,Conventional,5 Boroughs/New York City,2025/08/31,1.184366462,650594.7272,170668.1265,206812.581,3325.076588,269788.9431,244420.965,6205.101667,6263.248253,12899.62828
Category,Weekly,34,Conventional,5 Boroughs/New York City,2025/08/24,1.045860918,781068.1311,262463.1837,225822.8396,1977.640575,290804.4672,255024.904,3056.995852,19732.90529,12989.66211
Category,Weekly,33,Conventional,5 Boroughs/New York City,2025/08/17,1.142673676,745382.8183,169473.4027,259165.4116,5034.449392,311709.5546,285907.1267,0,13288.36628,12514.06165
