Report,Timeframe,Period,Type,Geography,Current Year Week Ending,ASP Current Year,Total Bulk and Bags,4046,4225,4770,TotalBagged,Sml Bagged,Lrg Bagged,X-Lrg Bagged,Unknown Bag Size
Category,Weekly,12,Conventional,5 Boroughs/New York City,2026/03/22,1.079701347,861791.6216,141926.1937,325330.2392,3597.595971,390937.5927,339735.8554,27441.99605,6502.811928,17256.9293
Category,Weekly,11,Conventional,5 Boroughs/New York City,2026/03/15,1.061474293,957397.8336,147209.5073,386184.709,2969.438726,421034.1786,371778.4086,18890.83033,11987.80028,18377.13941
Category,Weekly,10,Conventional,5 Boroughs/New York City,2026/03/08,1.046659665,919553.7267,154227.6405,338720.0493,4881.431601,421724.6054,385392.9832,16913.15632,5779.667905,13638.79796
Category,Weekly,9,Conventional,5 Boroughs/New York City,2026/03/01,1.105839192,691703.2134,127353.0731,215452.7469,19560.33201,329337.0614,289659.5576,20943.26003,3420.551952,15313.69186
Category,Weekly,8,Conventional,5 Boroughs/New York City,2026/02/22,1.08341655,878922.15,142005.8611,341874.0947,10743.54184,384298.6524,321557.0104,38900.88116,4459.909964,19380.85078
Category,Weekly,7,Conventional,5 Boroughs/New York City,2026/02/15,0.983487461,1040878.905,186711.2051,455658.8309,15665.85709,382843.0122,334380.1149,25614.33259,3637.173833,19211.39089
Category,Weekly,6,Conventional,5 Boroughs/New York City,2026/02/08,1.06060254,1191578.509,207987.2565,489814.8351,43426.01244,450350.405,399267.2304,24762.82559,5729.412231,20590.93678
Category,Weekly,5,Conventional,5 Boroughs/New York City,2026/02/01,0.971508875,857991.983,151296.6135,358323.2816,28796.10669,319575.9812,283189.6245,16497.99562,2732.838351,17155.52279
Category,Weekly,4,Conventional,5 Boroughs/New York City,2026/01/25,1.054683441,1036784.73,158778.3162,381656.591,15447.84375,480901.9791,428973.4664,21644.12862,5615.486555,24668.89753
Category,Weekly,3,Conventional,5 Boroughs/New York City,2026/01/18,1.083077246,916093.3118,134115.7453,302595.4218,38186.37891,441195.7658,396520.31,20843.86229,4603.362833,19228.23062
Category,Weekly,2,Conventional,5 Boroughs/New York City,2026/01/11,1.074664549,875040.9844,154726.5315,245744.0139,2813.447715,471756.9913,420641.789,24092.48297,3865.625892,23157.09339
Category,Weekly,1,Conventional,5 Boroughs/New York City,2026/01/04,1.028212039,876121.9088,130898.677,398410.9325,7971.11323,338841.186,303782.2164,9474.569728,3568.636871,22015.76302
Category,Weekly,12,Conventional,Albany,2026/03/22,0.840276468,166108.8108,58660.96954,61134.6075,143.2833831,46169.95036,42362.37798,2211.080784,520.5009627,1075.990627
Category,Weekly,11,Conventional,Albany,2026/03/15,0.851025098,168279.3308,57777.65171,66981.43308,183.6192723,43336.62678,35785.64171,6074.921232,535.8200064,940.2438312
Category,Weekly,10,Conventional,Albany,2026/03/08,0.858162275,177101.3424,60057.29653,74449.33397,140.950172,42453.76175,34775.73861,6453.944244,434.1455243,789.9333672
Category,Weekly,9,Conventional,Albany,2026/03/01,0.837264715,184966.9815,68433.71389,77205.8986,129.3785155,39197.99046,30611.21673,7494.073289,372.6047921,720.0956469
Category,Weekly,8,Conventional,Albany,2026/02/22,0.844333975,165237.9456,58867.5361,63097.90023,88.73047411,43183.77876,33986.45601,7534.393047,399.4845942,1263.445109
Category,Weekly,7,Conventional,Albany,2026/02/15,0.845895145,162534.4803,59471.41193,65963.93137,63.52503938,37035.61195,29329.79011,6459.061858,341.87025,904.8897303
Category,Weekly,6,Conventional,Albany,2026/02/08,0.809661942,208460.3189,85071.14879,82588.72187,54.44941948,40745.9988,32159.14083,7222.100977,215.9380475,1148.81895
Category,Weekly,5,Conventional,Albany,2026/02/01,0.828834173,145725.2838,54087.10085,56644.9332,73.55622573,34919.69357,29614.14193,4092.440913,355.1265962,857.9841289
